Outcome 2 Result 2a Measures of Association Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Risk
1,CX2 V13,25807,273,0.010578525206339366
2,CX1 V13,25807,300,0.011624752973999302
" "
" "
Risk Difference
Risk Difference,95 % CI Lower,95 % CI Upper,z,p
-0.0010462277676599359,-0.0028540939306891536,0.0007616383953692816,-1.1342547969609038,0.2566876844170798
" "
" "
Risk Ratio
Risk Ratio,95 % CI Lower,95 % CI Upper
0.9100000000000001,0.7731032950875125,1.0711375895846653
" "
" "
Odds Ratio
Odds Ratio,95 % CI Lower,95 % CI Upper
0.9090377535834574,0.770876779183299,1.0719607332257821
