Outcome 2 Result 2b Kaplan-Meier Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Median Survival (Days),Survival Probability at End of Time Window
1,CX2 V13,25807,273,,0.9888599925334599
2,CX1 V13,25807,300,,0.9883738603896665
" "
" "
Log-Rank Test
χ²,df,p
0.26038616905805045,1,0.6098549755773028
" "
" "
Hazard Ratio
Hazard Ratio,95 % CI Lower,95 % CI Upper
0.958215,0.8133124,1.128934
" "
" "
Proportionality
χ²,df,p
0.001151098,1,0.9729347
