Outcome 5 Result 5b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9999177834415853,0.9997809565103809,0.9999691418650207,0.9999588917207926,0.9998356412176254,0.9999897187573694
2,0.9997327961851512,0.9995398689083032,0.9998448377188645,0.9999383375811887,0.9998088237800138,0.9999801121338684
3,0.9994861465099069,0.9992396280947282,0.9996527556470355,,,
4,0.9994244840910963,0.9991665812419391,0.9996025943369534,,,
5,0.9994039299514913,0.999142360791894,0.9995857403486591,0.9998766751623768,0.9997255145691825,0.9999445931160307
6,0.9991572802762465,0.9988556655812441,0.9993794224299012,0.9998561210227743,0.9996982224062645,0.9999314054283839
7,0.9990545095782292,0.9987379076150322,0.9992917185737953,,,
8,0.9989517388802106,0.99862091945737,0.9992032316602634,0.9998150127435661,0.9996445008022715,0.99990374412788
9,0.998807859902985,0.9984582302064698,0.9990782400917437,,,
10,0.9987256433445703,0.9983657614131229,0.9990063137406201,0.9997739044643594,0.9995917752327267,0.9998747819393591
11,0.9986434267861547,0.9982736116169874,0.9989340649634599,0.9997327961851512,0.9995398689083032,0.9998448377188645
12,0.998540656088136,0.9981588309277866,0.9988433434987326,,,
13,0.9984995478089285,0.9981130355084092,0.9988069370165069,,,
14,0.9983556688317019,0.9979532301910252,0.9986790318185018,0.9997122420455476,0.9995141776426976,0.9998295646658498
15,0.9981912357148726,0.9977714157368887,0.9985320283254872,0.9996916879059439,0.9994886411823138,0.9998141177770665
16,0.9981501274356661,0.9977260856259239,0.9984951531483521,0.9996711337663395,0.999463246959762,0.9997985132164467
17,0.9980473567376461,0.9976129591149334,0.9984027652585157,0.99960947134753,0.9993878134576356,0.9997508822973995
18,0.9978418153416098,0.9973874865849023,0.998217204747551,0.9995478089287178,0.9993133303973885,0.999702231505376
19,0.9977801529227976,0.9973200304338411,0.9981613500680211,0.9994861465099069,0.9992396280947282,0.9996527556470355
20,0.9976979363643838,0.9972302118820148,0.9980867536199749,0.9994450382306994,0.9991908637527743,0.999619383927045
21,0.9975746115267607,0.9970957328448271,0.9979746090914517,,,
22,0.9974307325495354,0.996939191711748,0.9978434213347116,0.9994244840910963,0.9991665812419391,0.9996025943369534
23,0.9973485159911204,0.9968498980080487,0.9977682979438024,0.9994039299514913,0.999142360791894,0.9995857403486591
24,0.9973074077119134,0.9968052921928697,0.9977306950677043,,,
25,0.9972457452931012,0.9967384330404276,0.9976742410153618,0.9993628216722849,0.999094094455566,0.9995518517046147
26,0.9971840828742914,0.9966716316329619,0.997617729028386,0.999342267532681,0.9990700433016596,0.9995348226994862
27,0.9971224204554792,0.9966048861100563,0.9975611609793902,0.9993011592534734,0.9990220932553121,0.9995006078779722
28,0.996916879059442,0.996382782683511,0.9973722180215137,0.9992806051138691,0.9989981901420023,0.9994834265433906
29,0.9968552166406311,0.9963162600810346,0.9973154264011922,0.9992600509742657,0.998974332389615,0.9994661986549606
30,0.9968346625010275,0.9962940964939209,0.9972964852187078,,,
31,0.9967524459426135,0.9962054938696354,0.9972206686285416,0.999239496834663,0.9989505182210208,0.9994489260868684
32,0.9967113376634048,0.9961612229137911,0.9971827298990964,,,
33,0.9966291211049911,0.996072739858541,0.9971067934371846,0.9992189426950585,0.9989267459715094,0.9994316105906272
34,0.9964852421277635,0.9959180760877231,0.9969737226184496,0.9991983885554557,0.9989030140791513,0.9994142538060478
35,0.9963002548713313,0.9957195429898167,0.9968023105218841,0.9991778344158507,0.9988793210761705,0.9993968572709608
36,0.9962797007317279,0.9956975049484095,0.9967832434962474,0.9991572802762465,0.9988556655812441,0.9993794224299012
37,0.9961974841733122,0.9956093935561782,0.9967069345363131,0.999136726136643,0.9988320462925668,0.9993619506418413
38,0.9961358217545015,0.9955433519129566,0.9966496608309845,0.9990956178574362,0.9987849114875633,0.9993269012737263
39,0.9960330510564828,0.995433359825986,0.9965541271862334,,,
40,0.9959919427772752,0.9953893893582917,0.9965158873111682,0.9990545095782292,0.9987379076150322,0.9992917185737953
41,0.9959302803584648,0.9953234611938941,0.996458499910495,,,
42,,,,0.9990339554386249,0.9987144522098027,0.9992740798890182
43,0.995806955520842,0.9951917013135556,0.9963436284872282,,,
44,0.9957452931020305,0.9951258681951938,0.9962861458720927,,,
45,0.9957247389624261,0.9951039305926082,0.996266978218658,,,
46,0.9956836306832186,0.9950600653983638,0.9962286328840786,0.9989928471594169,0.998667629775574,0.9992387127001507
47,0.995621968264409,0.9949942922829006,0.9961710901655288,,,
48,0.9955603058455968,0.9949285482309166,0.9961135183363742,0.9989517388802106,0.99862091945737,0.9992032316602634
49,0.9954780892871816,0.9948409336764455,0.9960367116460337,,,
50,0.9954369810079742,0.9947971449509196,0.9959982897203882,,,
52,0.995334210309957,0.9946877259330494,0.9959021820305043,0.9989311847406059,0.998597604349215,0.9991854505014599
53,0.9952931020307496,0.99464397902979,0.9958637182199871,0.9989106306010034,0.9985743149527545,0.9991676432686781
54,0.9952725478911454,0.9946221099379019,0.9958444819486417,0.9988284140425876,0.9984814009453342,0.9990961675184564
55,0.99519033133273,0.9945346622016504,0.9957675081909371,0.9987873057633808,0.9984350814118943,0.9990602904598749
56,0.9950875606347118,0.9944254156018072,0.995671227834899,,,
57,0.9949847899366934,0.994316237061546,0.9955748793266632,,,
58,0.9949231275178817,0.9942507617451348,0.9955170383718642,,,
59,0.9948614650990704,0.9941853097601602,0.9954591740554387,,,
61,0.9948203568198641,0.9941416878603933,0.9954205850713693,0.9987050892049665,0.9983426952185273,0.9989882805877798
62,0.9947792485406562,0.9940980760261418,0.995381986009149,0.9986845350653628,0.9983196484793324,0.9989702277761036
63,0.9946559237030331,0.9939672997542349,0.9952661295187691,0.9986228726465514,0.9982506206590283,0.9989159558144485
64,0.9946353695634292,0.9939455121982264,0.9952468116041366,0.9986023185069469,0.9982276474852171,0.9988978287122231
65,0.9945531530050142,0.9938583857266565,0.9951695161650493,0.9985817643673428,0.9982046917148392,0.9988796840448658
66,0.994491490586203,0.9937930654417451,0.9951115199883518,,,
67,0.9944503823069964,0.9937495300902361,0.9950728443522853,0.998540656088136,0.9981588309277866,0.9988433434987326
68,0.994347611608977,0.9936407312477602,0.9949761156813974,0.9985201019485328,0.9981359252140418,0.9988251483297629
69,0.9942653950505628,0.9935537320380574,0.99489869283653,,,
70,0.9941626243525437,0.9934450316260975,0.9948018656281333,,,
71,,,,0.9984995478089285,0.9981130355084092,0.9988069370165069
72,0.9941009619337325,0.9933798367575541,0.994743743897821,,,
73,0.9939776370961102,0.9932495027559577,0.9946274446446333,,,
74,0.9939570829565074,0.9932277875248523,0.9946080543261305,0.9984584395297211,0.9980673028523926,0.9987704672480577
75,0.9939159746772999,0.9931843630584032,0.9945692676874214,,,
