Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
691 patients in Cohort 1 and 709 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9999700413429476,0.9999071140309258,0.9999903375934052,0.9999101078705542,0.9998272422574876,0.9999532267891141
2,0.9999400826858947,0.9998666361998422,0.999973081061641,0.999880143827407,0.999788961679185,0.9999319307553779
3,0.9999300964668757,0.9998533755458598,0.999966674004828,0.9998601677986405,0.999763908978704,0.9999171816841709
4,0.9999001378098225,0.9998144093762367,0.9999462674388286,0.9998401917698747,0.99973915796204,0.9999020933481942
5,0.999890151590805,0.9998016549006269,0.999939164442296,0.9998102277267267,0.9997024990278092,0.9998789489230483
6,0.999880165371788,0.9997889996120046,0.9999319429912747,0.9998002397123448,0.9996903866011325,0.9998711186441225
7,0.9998202480576819,0.9997147137771762,0.9998867448641964,0.9997802636835789,0.9996663017978666,0.999855309052995
8,0.9997902894006273,0.9996783796794111,0.99986326212564,0.9997602876548134,0.9996423851208436,0.99983932186661
9,0.9997703169625926,0.9996543858347541,0.9998473636878393,0.9997303236116658,0.9996067851565409,0.9998150529060995
10,0.9997603307435753,0.9996424493990248,0.99983935074996,,,
11,0.9997503445245578,0.9996305502433646,0.9998312987236352,0.9997203355972821,0.9995949842288334,0.9998068947779631
12,0.9997403583055384,0.9996186863393093,0.9998232098470077,0.9997103475828995,0.9995832134447596,0.9997987053703102
13,0.9997203858675041,0.9995950570266435,0.9998069294905065,,,
14,0.999710399648486,0.9995832883581911,0.9997987415550115,0.9996703955253687,0.9995364045513635,0.9997656642111795
15,0.9997004134294687,0.9995715483895078,0.9997905238981195,0.9996504194966026,0.999513148282017,0.9997489910012242
16,0.9996904272104506,0.9995598357919083,0.999782277947787,0.9996404314822205,0.9995015536538697,0.9997406199936976
17,0.9996504823343794,0.9995132357885532,0.9997490361228055,,,
18,0.9996305098963434,0.9994900718628441,0.9997322754222275,0.9996204554534558,0.9994784270883202,0.9997238137324367
19,0.9996105374583086,0.9994669894033177,0.9997154312900254,,,
