Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,25,30
1801.0,21,24
1802.0,24,19
1803.0,33,31
1804.0,35,20
1805.0,37,11
1806.0,36,33
1807.0,28,21
1808.0,33,14
1809.0,22,18
1810.0,37,22
1811.0,29,28
1812.0,29,20
1813.0,32,25
1814.0,35,27
1815.0,43,25
1816.0,27,16
1817.0,31,20
1818.0,30,24
1819.0,40,26
1820.0,33,24
1821.0,31,21
1822.0,34,20
1823.0,24,23
1824.0,29,23
1825.0,67597,67810
