Outcome 4 Result 4a Measures of Association Table
" "
Generated by TriNetX
" "
Notes
4896 patients in Cohort 1 and 3586 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Risk
1,CX1 V10,105095,11146,0.1060564251391598
2,CTL Final,106405,9325,0.08763685917015178
" "
" "
Risk Difference
Risk Difference,95 % CI Lower,95 % CI Upper,z,p
0.018419565969008025,0.015899187056940826,0.020939944881075225,14.324762931806944,1.5325014836760707e-46
" "
" "
Risk Ratio
Risk Ratio,95 % CI Lower,95 % CI Upper
1.210180580904268,1.1789411702757577,1.2422477688646942
" "
" "
Odds Ratio
Odds Ratio,95 % CI Lower,95 % CI Upper
1.2351161603650282,1.199893126605071,1.271373171301574
