Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
4966 patients in Cohort 1 and 178944 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,110077,100%,11.268712,4.6666436,0,17,2669741,100%,5.7156415,5.504915,0,17,0,1.0881927,109991,100%,11.266204,4.667144,0,17,109991,100%,11.267494,4.6682115,0,17,0.9482835,0.0002765861
Age,Current Age,,110077,100%,21.663635,5.578464,5,37,2669741,100%,16.388975,6.5354295,5,37,0,0.8681402,109991,100%,21.662563,5.5799203,5,37,109991,100%,22.217499,5.7295885,5,37,0,0.09812764
2186-5,Not Hispanic or Latino,,78526,71.337%,,,,,1585848,59.401%,,,,,0,0.25287354,78450,71.324%,,,,,78461,71.334%,,,,,0.9586391,0.00022114704
2106-3,White,,74544,67.72%,,,,,1468523,55.006%,,,,,0,0.26335952,74471,67.706%,,,,,74497,67.73%,,,,,0.90562177,0.00050557416
M,Male,,61666,56.021%,,,,,1331225,49.863%,,,,,0,0.12359577,61623,56.025%,,,,,61489,55.904%,,,,,0.5649458,0.0024540888
F,Female,,48351,43.925%,,,,,1335193,50.012%,,,,,0,0.12219932,48308,43.92%,,,,,48284,43.898%,,,,,0.9178769,0.0004396739
UN,Unknown Ethnicity,,18604,16.901%,,,,,617722,23.138%,,,,,0,0.15634394,18602,16.912%,,,,,18601,16.911%,,,,,0.9954618,0.000024253692
2054-5,Black or African American,,15626,14.196%,,,,,527482,19.758%,,,,,0,0.14856671,15620,14.201%,,,,,15620,14.201%,,,,,1,0
2135-2,Hispanic or Latino,,12947,11.762%,,,,,466171,17.461%,,,,,0,0.16188572,12939,11.764%,,,,,12929,11.755%,,,,,0.9472276,0.00028224103
UNK,Unknown Race,,9163,8.324%,,,,,346590,12.982%,,,,,0,0.15141195,9161,8.329%,,,,,9160,8.328%,,,,,0.9938434,0.000032903677
2131-1,Other Race,,5612,5.098%,,,,,179524,6.724%,,,,,0,0.06899337,5609,5.1%,,,,,5599,5.09%,,,,,0.9227584,0.00041345452
2028-9,Asian,,3274,2.974%,,,,,112141,4.2%,,,,,0,0.065967456,3273,2.976%,,,,,3268,2.971%,,,,,0.94995534,0.0002676326
1002-5,American Indian or Alaska Native,,555,0.504%,,,,,12938,0.485%,,,,,0.35975698,0.0027910292,554,0.504%,,,,,553,0.503%,,,,,0.9759621,0.00012848667
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,4003,3.637%,,,,,39675,1.486%,,,,,0,0.13643914,3951,3.592%,,,,,3922,3.566%,,,,,0.7392514,0.0014193138
F30-F39,Mood [affective] disorders,,2737,2.486%,,,,,22551,0.845%,,,,,0,0.12854919,2691,2.447%,,,,,2673,2.43%,,,,,0.80349857,0.0010610238
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,1014,0.921%,,,,,4328,0.162%,,,,,0,0.103557214,992,0.902%,,,,,988,0.898%,,,,,0.9280483,0.0003850589
Z81,Family history of mental and behavioral disorders,,191,0.174%,,,,,319,0.012%,,,,,0,0.053099513,105,0.095%,,,,,85,0.077%,,,,,0.14661856,0.0061898385
9083,BMI,,31476,28.595%,22.447014,5.537105,0.11,66.87934,733687,27.482%,19.22152,5.4073153,0.1,70,0,0.58939046,31423,28.569%,22.44163,5.530465,0.11,66.87934,31405,28.552%,22.518642,5.997241,1,67,0.09429353,0.013350435
9083,BMI,,31490,28.607%,,,,,733963,27.492%,,,,,4.726906e-16,0.02482887,31437,28.581%,,,,,31408,28.555%,,,,,0.8911314,0.00058365124
