Outcome 1 Result 1a Measures of Association Table
" "
Generated by TriNetX
" "
Notes
1436 patients in Cohort 1 and 1164 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Risk
1,CX1 V10,108555,5737,0.052848786329510386
2,CTL Final,108827,3563,0.03274003693936248
" "
" "
Risk Difference
Risk Difference,95 % CI Lower,95 % CI Upper,z,p
0.02010874939014791,0.018408959131075254,0.021808539649220565,23.164949895151004,1.027678640514384e-118
" "
" "
Risk Ratio
Risk Ratio,95 % CI Lower,95 % CI Upper
1.6141944624983515,1.5494241792402632,1.6816723255461075
" "
" "
Odds Ratio
Odds Ratio,95 % CI Lower,95 % CI Upper
1.648465053555881,1.5795872393536874,1.7203462810366046
