Outcome 3 Result 3b Kaplan-Meier Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Median Survival (Days),Survival Probability at End of Time Window
1,CX3 V13,11038,345,,0.9660841757479965
2,CX2 V13,11038,352,,0.966287441672951
" "
" "
Log-Rank Test
χ²,df,p
0.022156764907388715,1,0.8816708231250959
" "
" "
Hazard Ratio
Hazard Ratio,95 % CI Lower,95 % CI Upper
1.011342,0.8717827,1.173242
" "
" "
Proportionality
χ²,df,p
1.839458,1,0.1750145
