Outcome 7 Result 7a Measures of Association Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Risk
1,CX3 V13,11038,33,0.002989672042036601
2,CX2 V13,11038,37,0.0033520565319804315
" "
" "
Risk Difference
Risk Difference,95 % CI Lower,95 % CI Upper,z,p
-0.0003623844899438306,-0.0018456633522118166,0.0011208943723241553,-0.47885123264503976,0.6320444664273431
" "
" "
Risk Ratio
Risk Ratio,95 % CI Lower,95 % CI Upper
0.8918918918918919,0.5582409522405781,1.4249602140970912
" "
" "
Odds Ratio
Odds Ratio,95 % CI Lower,95 % CI Upper
0.8915677149207363,0.5572096567115247,1.4265599684330499
