Outcome 8 Result 8b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,1,,,1,,
6,0.9999556482015346,0.9996851859985202,0.9999937523316675,,,
38,,,,0.9999556482015346,0.9996851859985202,0.9999937523316675
75,,,,0.9999112964030691,0.9996453713173056,0.9999778147006959
123,,,,0.999866944604604,0.999587510176909,0.9999570848510165
137,,,,0.999822592806138,0.9995273845904356,0.9999334122223134
162,,,,0.9997782410076715,0.999467300116594,0.9999076917644428
178,,,,0.9997338892092069,0.9994077661597224,0.9998804381194014
210,,,,0.9996895374107412,0.9993488827259026,0.999851979927746
250,,,,0.9996451856122766,0.999290635596035,0.9998225424219369
276,,,,0.99960083381381,0.9992329782545775,0.9997922880517451
294,,,,0.999556482015346,0.9991758578910843,0.9997613386091658
297,,,,0.9995121302168795,0.9991192239892137,0.999729788222245
436,,,,0.9994677784184148,0.9990630309175602,0.9996977114447511
437,,,,0.9994234266199491,0.9990072383572861,0.9996651685325582
462,,,,0.999379074821483,0.9989518109649093,0.9996322090186188
468,,,,0.9993347230230174,0.9988967178039383,0.9995988742132043
493,0.9999112964030691,0.9996453713173056,0.9999778147006959,,,
556,,,,0.9992903712245528,0.9988419317504109,0.9995651990001349
572,0.999866944604604,0.999587510176909,0.9999570848510165,,,
579,,,,0.9992460194260865,0.9987874289468273,0.9995312131573326
591,,,,0.9992016676276211,0.9987331883262086,0.9994969423473068
625,0.999822592806138,0.9995273845904356,0.9999334122223134,,,
666,,,,0.9991573158291557,0.9986791912070101,0.9994624088731987
697,0.9997782410076715,0.999467300116594,0.9999076917644428,,,
706,,,,0.9991129640306909,0.9986254209520141,0.9994276322649155
715,,,,0.999068612232226,0.9985718626822078,0.9993926297398417
770,0.9997338892092069,0.9994077661597224,0.9998804381194014,,,
777,,,,0.99902426043376,0.9985185030368466,0.9993574165694832
790,0.9996895374107412,0.9993488827259026,0.999851979927746,,,
839,,,,0.998979908635294,0.9984653299718736,0.9993220063745207
842,,,,0.9989355568368287,0.9984123325900447,0.9992864113646617
844,,,,0.9988912050383633,0.998359500997244,0.9992506425354208
862,0.9996451856122766,0.999290635596035,0.9998225424219369,,,
882,0.99960083381381,0.9992329782545775,0.9997922880517451,,,
885,0.999556482015346,0.9991758578910843,0.9997613386091658,,,
904,,,,0.9988468532398987,0.9983068261804628,0.9992147098309354
910,0.9995121302168795,0.9991192239892137,0.999729788222245,,,
915,,,,0.9988025014414326,0.998254299903725,0.9991786222797088
934,,,,0.9987581496429676,0.998201914618964,0.9991423881086124
944,,,,0.9987137978445013,0.9981496633893513,0.9991060148392311
988,,,,0.9986694460460366,0.998097539823101,0.9990695093698184
994,0.9994677784184148,0.9990630309175602,0.9996977114447511,,,
1018,,,,0.9986250942475707,0.9980455380160537,0.9990328780453731
1021,0.9994234266199491,0.9990072383572861,0.9996651685325582,,,
1035,,,,0.9985807424491051,0.997993652501718,0.9989961267179084
1045,,,,0.9985363906506408,0.9979418782076123,0.9989592607985178
1085,0.999379074821483,0.9989518109649093,0.9996322090186188,,,
1087,0.9993347230230174,0.9988967178039383,0.9995988742132043,,,
1091,,,,0.9984920388521753,0.9978902104169854,0.9989222853025714
